iter,psnr
1,10.098085
2,8.220300
3,11.071479
4,10.632829
5,10.864267
6,11.388269
7,12.226518
8,12.928561
9,13.031243
10,13.428296
11,13.069847
12,13.056269
13,13.448235
14,14.005676
15,14.026621
16,13.990583
17,14.065513
18,14.161875
19,14.320077
20,14.152846
21,14.537736
22,14.683357
23,14.887363
24,14.987476
25,14.727809
26,14.999816
27,15.091033
28,14.960053
29,15.079575
30,15.439597
31,15.249496
32,15.423191
33,15.745932
34,15.666539
35,15.839598
36,15.746771
37,15.820096
38,15.852284
39,15.819951
40,15.794078
41,16.017500
42,16.271849
43,16.159004
44,16.260954
45,16.336334
46,16.282639
47,16.455219
48,16.353119
49,16.659327
50,16.690449
51,16.689899
52,16.927565
53,16.839491
54,17.062000
55,16.826042
56,16.975479
57,17.002808
58,17.003431
59,16.979799
60,17.116653
61,17.203365
62,17.183033
63,17.235323
64,17.328444
65,17.647608
66,17.558355
67,17.281391
68,17.315321
69,17.426178
70,17.600548
71,17.617641
72,17.678438
73,17.795206
74,18.003416
75,17.779001
76,18.023596
77,18.103634
78,17.701509
79,17.987846
80,17.935112
81,17.790640
82,18.067984
83,17.910007
84,18.145439
85,18.161991
86,17.975018
87,18.205481
88,18.206860
89,17.932768
90,18.338192
91,18.127066
92,18.138500
93,18.462669
94,18.202517
95,18.303049
96,18.649525
97,18.646011
98,18.820127
99,18.302929
100,19.081161
101,18.910233
102,19.089869
103,18.836243
104,18.949480
105,19.342138
106,18.954205
107,19.178177
108,19.205420
109,18.988871
110,19.740404
111,19.218069
112,19.400785
113,19.418354
114,19.159138
115,19.866228
116,19.282871
117,19.858158
118,19.479868
119,19.726254
120,19.448015
121,19.848516
122,20.099766
123,19.650536
124,19.657572
125,19.700600
126,20.190342
127,20.330801
128,20.105053
129,20.371069
130,20.280893
131,20.308706
132,20.763700
133,20.499783
134,20.181791
135,20.519011
136,20.566132
137,20.662586
138,20.853806
139,20.370235
140,20.068293
141,21.018782
142,20.029800
143,20.585358
144,20.571613
145,20.598446
146,20.477451
147,20.726881
148,20.468744
149,20.664696
150,21.198997
151,20.726229
152,21.042648
153,21.360785
154,21.028358
155,21.183464
156,21.648712
157,21.112324
158,21.185553
159,21.477657
160,21.349035
161,21.356058
162,21.480133
163,21.613663
164,21.209307
165,21.615915
166,21.607609
167,21.791119
168,21.533978
169,21.588196
170,21.553566
171,21.657139
172,21.806396
173,21.128595
174,21.768871
175,21.156622
176,21.349043
177,21.485422
178,21.040096
179,22.029659
180,21.423611
181,21.300623
182,20.983126
183,21.286621
184,21.601702
185,21.316427
186,21.672640
187,21.738129
188,21.314528
189,21.791220
190,21.490347
191,21.820520
192,21.784775
193,21.689314
194,21.731104
195,21.728479
196,21.840786
197,21.911669
198,22.130863
199,22.094381
200,21.959875
201,22.024593
202,22.482315
203,22.194189
204,22.177200
205,22.180998
206,22.314411
207,22.006575
208,21.902470
209,22.338385
210,22.447330
211,22.261276
212,22.244755
213,22.141060
214,22.249369
215,22.459543
216,22.781111
217,22.179199
218,22.568502
219,22.613428
220,22.680523
221,22.704937
222,22.521433
223,22.239059
224,22.573322
225,22.325371
226,22.543041
227,22.254169
228,22.430653
229,22.729074
230,22.707975
231,22.750097
232,22.173187
233,22.921923
234,22.690001
235,22.441223
236,22.249708
237,22.874199
238,22.526264
239,22.436634
240,22.091650
241,22.107014
242,22.629639
243,22.308544
244,22.302931
245,22.678865
246,22.757294
247,22.336119
248,22.402998
249,22.197222
250,22.282776
251,22.365025
252,22.608212
253,22.464706
254,22.658955
255,22.364321
256,22.152849
257,22.506006
258,22.302898
259,22.233471
260,22.404737
261,22.198904
262,22.575388
263,22.214008
264,22.341167
265,22.716236
266,22.793667
267,22.120361
268,22.709784
269,22.531130
270,22.603233
271,22.863861
272,22.067389
273,22.693104
274,22.613699
275,22.393972
276,22.450666
277,23.061024
278,22.732569
279,22.897697
280,22.537481
281,22.371616
282,22.620693
283,22.693262
284,22.662161
285,22.337091
286,22.852701
287,22.578344
288,22.679562
289,23.114164
290,22.569719
291,22.682322
292,22.822853
293,22.694004
294,22.837704
295,22.859766
296,22.526176
297,22.905920
298,22.716356
299,23.279186
300,23.163801
301,22.705397
302,22.849640
303,23.399790
304,22.780865
305,22.926800
306,22.847151
307,23.232624
308,23.083899
309,23.009802
310,22.935318
311,23.288387
312,22.863979
313,22.861378
314,23.230024
315,23.198389
316,23.216736
317,23.231710
318,23.170300
319,23.306440
320,23.016293
321,23.401846
322,23.347572
323,23.174862
324,22.978535
325,23.349596
326,22.936537
327,23.109062
328,23.302553
329,22.861349
330,23.294506
331,23.252705
332,23.180145
333,23.528131
334,23.257418
335,23.504858
336,23.072149
337,23.647957
338,23.216162
339,23.316195
340,23.302235
341,23.152611
342,23.534044
343,23.411732
344,23.309534
345,23.356804
346,23.261387
347,23.593475
348,22.997152
349,23.631870
350,23.481556
351,23.729691
352,23.221134
353,23.086174
354,23.620571
355,23.361320
356,23.380564
357,23.483164
358,23.587814
359,23.563707
360,23.316330
361,23.709856
362,23.708284
363,23.764208
364,23.704546
365,23.857994
366,23.752441
367,23.734108
368,23.735632
369,23.595531
370,23.727186
371,23.927902
372,23.646086
373,23.505936
374,24.033186
375,23.411676
376,23.575504
377,23.797029
378,23.473463
379,23.448273
380,23.589865
381,23.582546
382,23.569578
383,23.645477
384,23.787060
385,23.681091
386,23.832014
387,23.523130
388,23.540045
389,23.556423
390,23.740473
391,23.772337
392,23.866262
393,23.788925
394,23.574886
395,23.802868
396,23.737280
397,23.505693
398,23.600540
399,23.571680
400,23.716921
401,23.752419
402,23.041525
403,23.409016
404,23.178125
405,23.414057
406,23.586554
407,23.370373
408,23.358635
409,23.554070
410,23.458994
411,23.343801
412,23.459261
413,23.677130
414,23.704134
415,23.753843
416,23.625275
417,23.747034
418,23.656706
419,23.532408
420,23.604168
421,23.436092
422,23.544029
423,23.375727
424,23.630543
425,23.277067
426,23.561459
427,23.297615
428,23.858107
429,23.702993
430,23.439949
431,23.788092
432,23.524872
433,23.904902
434,23.187134
435,23.398714
436,23.657709
437,23.819290
438,23.416151
439,23.593271
440,23.735363
441,24.033266
442,23.723591
443,23.486380
444,23.481766
445,23.819828
446,23.444523
447,23.781622
448,23.760487
449,23.836056
450,23.879723
451,24.078016
452,23.809198
453,23.703472
454,23.661264
455,24.027420
456,23.550947
457,23.847687
458,23.923960
459,23.504375
460,24.162699
461,23.982512
462,23.621351
463,23.941906
464,23.376589
465,23.976765
466,23.762781
467,23.720711
468,23.805439
469,23.658947
470,24.022749
471,23.668705
472,23.647631
473,23.848715
474,23.240332
475,23.871939
476,23.859600
477,23.403305
478,23.537489
479,23.882778
480,23.202583
481,23.870831
482,23.490507
483,23.587170
484,23.491863
485,23.401962
486,23.276234
487,23.671091
488,23.819355
489,24.147694
490,23.532242
491,23.540958
492,23.292822
493,23.840496
494,23.311214
495,23.741636
496,23.334776
497,23.829769
498,23.730574
499,23.554241
500,23.521391
501,23.701988
502,23.424549
503,23.450768
504,23.950785
505,23.693939
506,23.464582
507,23.437521
508,23.612215
509,23.880419
510,23.644424
511,23.481216
512,23.485943
513,23.885668
514,24.028883
515,23.974968
516,23.832941
517,23.988916
518,23.822735
519,23.781614
520,24.050587
521,23.623018
522,23.825121
523,23.963316
524,23.580549
525,23.922443
526,23.854368
527,23.879959
528,23.727322
529,23.647358
530,23.677326
531,23.936714
532,24.064257
533,23.909784
534,23.819345
535,24.194252
536,23.998449
537,23.920401
538,23.893036
539,23.967728
540,24.120001
541,23.753788
542,23.940432
543,23.889269
544,24.127487
545,24.258759
546,24.253647
547,23.966631
548,24.163767
549,23.798874
550,23.872822
551,23.739342
552,23.487867
553,23.670597
554,24.266785
555,24.071249
556,23.920589
557,23.828087
558,24.114012
559,23.723173
560,23.859011
561,23.809200
562,23.615601
563,23.764013
564,23.977741
565,24.019903
566,23.981747
567,23.950911
568,23.647753
569,24.259722
570,23.764404
571,23.980406
572,23.890846
573,23.959761
574,23.895369
575,23.957703
576,23.780226
577,24.144289
578,23.854347
579,24.158688
580,23.979311
581,24.153044
582,23.782890
583,24.025333
584,24.042336
585,24.139830
586,24.054010
587,23.982117
588,24.029863
589,24.131302
590,24.245893
591,23.978760
592,24.067318
593,23.995415
594,23.863197
595,24.017748
596,23.685873
597,23.782927
598,24.043266
599,23.781866
600,23.967344
601,24.023048
602,23.885271
603,23.682167
604,24.104073
605,23.877388
606,23.816511
607,24.028946
608,23.920391
609,23.939859
610,23.946978
611,23.619221
612,23.861305
613,23.100887
614,24.191126
615,23.549637
616,23.879173
617,23.376711
618,23.726061
619,23.755718
620,23.333204
621,23.635044
622,23.648289
623,24.197100
624,23.669767
625,24.045298
626,23.742323
627,24.246761
628,23.393456
629,24.298588
630,23.704174
631,24.042505
632,23.990593
633,23.988337
634,24.034328
635,23.852455
636,23.752033
637,23.900766
638,23.523357
639,23.869534
640,23.945032
641,23.530214
642,23.905100
643,23.800632
644,23.735155
645,23.371933
646,23.614550
647,23.813175
648,23.920935
649,23.708851
650,23.772820
651,24.018335
652,23.988300
653,23.245703
654,23.817896
655,23.668802
656,23.725515
657,23.479521
658,23.706144
659,23.384844
660,23.730772
661,23.318830
662,24.144482
663,23.552965
664,23.857023
665,23.951786
666,23.849155
667,23.754042
668,24.148254
669,24.104706
670,24.249783
671,23.850943
672,24.089424
673,24.409445
674,24.470881
675,24.270824
676,24.177273
677,24.234787
678,24.212435
679,24.371735
680,24.222837
681,24.309671
682,24.035076
683,24.371847
684,24.120853
685,24.404518
686,24.254709
687,24.345837
688,24.271070
689,24.413429
690,24.344988
691,24.180454
692,24.438972
693,24.581476
694,24.104820
695,24.223394
696,24.095158
697,24.190367
698,24.553112
699,24.519150
700,24.462219
701,24.139021
702,24.432928
703,24.477055
704,24.180792
705,24.506632
706,24.244562
707,24.262060
708,24.364992
709,24.349365
710,24.641096
711,24.419416
712,24.141193
713,24.571762
714,24.051601
715,24.435610
716,24.274820
717,24.210762
718,24.370583
719,24.044243
720,24.073839
721,24.201077
722,24.047699
723,24.266563
724,24.278631
725,24.126633
726,24.161753
727,24.211899
728,24.280474
729,24.293108
730,24.210203
731,23.980461
732,24.158844
733,23.929283
734,23.954403
735,23.885389
736,24.087355
737,23.631300
738,23.704796
739,23.885601
740,23.629667
741,23.727798
742,24.040554
743,23.817522
744,24.356392
745,24.165014
746,24.132879
747,24.054970
748,24.044802
749,24.233408
750,23.779301
751,24.172880
752,23.733276
753,23.772894
754,24.073753
755,24.222551
756,23.859413
757,24.152454
758,23.792210
759,24.017414
760,24.049789
761,23.787832
762,24.002985
763,24.141407
764,24.256060
765,23.823252
766,24.027195
767,23.835238
768,24.031097
769,24.209639
770,23.819696
771,23.940666
772,24.130507
773,23.794182
774,23.866404
775,24.062490
776,23.892078
777,23.753380
778,23.951851
779,24.058033
780,23.986759
781,24.055883
782,23.959688
783,24.027140
784,24.087057
785,24.222654
786,24.356882
787,24.134420
788,24.022465
789,24.324223
790,24.311964
791,23.939648
792,24.296268
793,24.252541
794,24.134605
795,24.185678
796,24.281588
797,24.127481
798,24.348991
799,24.123396
800,24.180458
801,24.299524
802,24.184057
803,24.379938
804,24.021526
805,24.431328
806,24.448349
807,24.550884
808,24.242456
809,24.407642
