iter,psnr
1,10.000100
2,10.489624
3,10.923408
4,10.966041
5,11.403336
6,11.556038
7,11.765036
8,12.083090
9,12.347739
10,12.669745
11,12.657116
12,13.016119
13,13.114240
14,13.251803
15,13.216686
16,13.294848
17,13.525015
18,13.653173
19,13.745481
20,13.622483
21,14.018123
22,14.145006
23,14.522931
24,14.751249
25,14.692771
26,14.923380
27,15.280528
28,15.104298
29,15.205802
30,15.523924
31,15.587582
32,15.836726
33,16.067423
34,15.980166
35,16.234392
36,16.266779
37,16.356462
38,16.332909
39,16.456892
40,16.431221
41,16.524763
42,16.972616
43,16.873447
44,17.044678
45,17.061420
46,17.188187
47,17.357164
48,17.350641
49,17.647688
50,17.642651
51,17.832115
52,17.925356
53,18.040854
54,18.164093
55,18.175253
56,18.333834
57,18.418451
58,18.540262
59,18.462070
60,18.664526
61,18.613850
62,18.854654
63,18.926075
64,19.011196
65,19.186728
66,19.430351
67,19.226063
68,19.497541
69,19.514482
70,19.669403
71,19.764002
72,19.973215
73,19.794792
74,19.873182
75,20.287325
76,20.429619
77,20.485233
78,20.306301
79,20.480070
80,20.490288
81,20.381174
82,20.670279
83,20.772106
84,20.940252
85,21.025572
86,20.916895
87,21.244780
88,21.184662
89,20.919775
90,21.352905
91,21.286678
92,21.413475
93,21.305464
94,21.625467
95,21.414766
96,21.366789
97,21.606079
98,21.385435
99,21.665546
100,21.803183
101,21.640079
102,21.850636
103,21.784010
104,21.815842
105,21.967865
106,22.007017
107,21.972725
108,22.243317
109,21.988741
110,22.164698
111,22.071383
112,21.890902
113,22.330078
114,21.898836
115,22.168699
116,22.198637
117,22.296745
118,22.231627
119,22.313856
120,22.228683
121,22.371185
122,22.456959
123,22.326048
124,22.483826
125,22.396320
126,22.419443
127,22.416172
128,22.355194
129,22.676918
130,22.790007
131,22.638744
132,22.928833
133,22.632215
134,22.610254
135,22.791548
136,22.925699
137,22.828598
138,22.722824
139,22.707529
140,22.850985
141,22.879255
142,22.769979
143,22.718010
144,22.684563
145,22.769674
146,22.824141
147,23.077862
148,22.827078
149,22.898485
150,23.035963
151,22.967819
152,23.129881
153,23.090984
154,22.904411
155,23.043297
156,23.027470
157,22.849697
158,23.273283
159,23.183321
160,23.066767
161,22.841063
162,22.956768
163,22.947239
164,22.961323
165,23.045465
166,23.200409
167,23.192360
168,23.371737
169,23.256895
170,23.204849
171,23.175785
172,23.140072
173,23.053328
174,23.317398
175,23.250441
176,23.422131
177,23.174482
178,23.107243
179,23.527124
180,23.438923
181,23.366447
182,23.122255
183,23.525070
184,23.449049
185,23.261166
186,23.302031
187,23.285936
188,23.342464
189,23.314411
190,23.356964
191,23.437620
192,23.537064
193,23.385798
194,23.463938
195,23.536572
196,23.426908
197,23.640985
198,23.663460
199,23.396343
200,23.350033
201,23.172533
202,23.330738
203,23.353771
204,23.567036
205,23.394501
206,23.691910
207,23.410017
208,23.014809
209,23.448919
210,23.704483
211,23.338165
212,23.434198
213,23.734751
214,23.270483
215,23.502552
216,23.622700
217,23.569664
218,23.611864
219,23.674976
220,23.751806
221,23.682171
222,23.653755
223,23.598717
224,23.669199
225,23.689087
226,23.732349
227,23.846277
228,23.783384
229,23.864996
230,23.591038
231,23.914883
232,23.591648
233,23.827250
234,23.968782
235,23.760765
236,23.640839
237,23.840464
238,23.711796
239,23.751789
240,23.724367
241,23.717751
242,23.688427
243,23.672901
244,23.972273
245,23.451534
246,23.707462
247,23.819946
248,23.905153
249,23.472128
250,23.724607
251,23.970131
252,23.763577
253,23.499113
254,23.684978
255,23.906805
256,23.413078
257,23.393171
258,23.862362
259,23.695524
260,23.347128
261,23.750368
262,23.785650
263,23.686752
264,24.034330
265,24.034309
266,23.960821
267,23.803808
268,23.836962
269,24.072443
270,24.051210
271,24.017241
272,23.616215
273,23.886457
274,24.012981
275,23.859388
276,23.844324
277,23.775835
278,24.141548
279,24.147385
280,23.807255
281,23.943604
282,24.032782
283,24.109156
284,24.218657
285,23.945019
286,24.140568
287,23.978527
288,24.066526
289,23.891132
290,24.141518
291,24.201332
292,23.988325
293,24.162325
294,23.925598
295,24.200275
296,23.899206
297,24.005991
298,24.073917
299,24.101631
300,24.013884
301,23.856251
302,24.165213
303,24.196817
304,23.861927
305,23.910347
306,24.177292
307,24.168964
308,24.033035
309,24.058081
310,23.985991
311,24.028168
312,23.966124
313,24.037354
314,23.906904
315,23.940678
316,24.105717
317,23.969158
318,24.123926
319,23.840889
320,23.836184
321,24.191877
322,23.835621
323,24.021078
324,23.953854
325,23.634521
326,24.045317
327,24.090357
328,24.024775
329,23.849133
330,24.132128
331,24.145130
332,24.057251
333,24.091106
334,24.164679
335,23.950260
336,24.083521
337,24.190479
338,23.901346
339,23.910721
340,24.170942
341,23.772161
342,23.876255
343,24.166855
344,23.937532
345,23.927200
346,24.145409
347,24.249252
348,23.741259
349,24.168341
350,24.083321
351,24.391562
352,24.240244
353,24.124205
354,24.246082
355,24.141073
356,24.134096
357,24.118586
