iter,psnr
1,9.868776
2,10.315199
3,10.798083
4,10.992128
5,11.325499
6,11.627936
7,11.923912
8,12.208706
9,12.488053
10,12.869167
11,12.804854
12,13.111618
13,13.198604
14,13.392089
15,13.431032
16,13.604588
17,13.847730
18,13.977486
19,14.107321
20,13.869678
21,14.262189
22,14.433129
23,14.630091
24,14.757653
25,14.432980
26,14.655955
27,14.866291
28,14.567008
29,14.627097
30,14.944283
31,14.809342
32,15.048582
33,15.321074
34,15.190434
35,15.342623
36,15.201847
37,15.339822
38,15.277293
39,15.245357
40,15.214234
41,15.372301
42,15.705736
43,15.503988
44,15.629311
45,15.690207
46,15.513659
47,15.772909
48,15.709975
49,15.982234
50,16.100414
51,16.024113
52,16.143307
53,16.130377
54,16.266916
55,16.207905
56,16.101982
57,16.315294
58,16.061722
59,16.200460
60,16.332832
61,16.327229
62,16.414724
63,16.410004
64,16.571487
65,16.750172
66,16.785139
67,16.328825
68,16.508530
69,16.640537
70,16.574327
71,16.746119
72,16.867865
73,16.608965
74,17.113342
75,17.051729
76,16.937691
77,17.259764
78,16.831219
79,17.023056
80,16.898121
81,16.961357
82,16.994598
83,17.102573
84,17.185837
85,17.032518
86,17.227793
87,17.194479
88,17.050970
89,17.054884
90,17.373579
91,17.051821
92,17.340820
93,17.159349
94,17.240582
95,17.289028
96,17.422182
97,17.584116
98,17.332521
99,17.241087
100,17.526024
101,17.516754
102,17.671040
103,17.433079
104,17.624779
105,17.556223
106,17.385511
107,17.343893
108,17.644552
109,17.450268
110,17.782833
111,17.694304
112,17.655642
113,17.663494
114,17.636208
115,17.866955
116,17.396641
117,17.826281
118,17.798082
119,17.685228
120,17.592773
121,17.710093
122,17.911789
123,17.752165
124,17.861092
125,17.660620
126,17.797632
127,17.627632
128,17.548340
129,17.834854
130,17.819155
131,17.715860
132,18.052282
133,17.889320
134,17.632338
135,17.934269
136,17.973173
137,17.970255
138,18.080763
139,18.105021
140,17.792747
141,18.251484
142,18.041187
143,17.966200
144,17.948486
145,18.245918
146,18.101702
147,18.068378
148,18.271990
149,18.127741
150,18.323538
151,18.194973
152,18.236334
153,18.504528
154,18.262281
155,18.310759
156,18.706158
157,18.306829
158,18.508404
159,18.673092
160,18.770658
161,18.308460
162,18.532785
163,18.865368
164,18.316257
165,18.769270
166,18.818527
167,18.978823
168,18.888487
169,19.043501
170,18.680290
171,19.129858
172,19.028217
173,18.767889
174,18.869518
175,18.683538
176,19.287006
177,19.122921
178,18.848471
179,19.455851
180,19.202745
181,19.209558
182,19.267464
183,19.344389
184,19.173159
185,19.326942
186,19.429491
187,19.465181
188,19.213736
189,19.339754
190,19.329638
191,19.283798
192,19.385645
193,19.415630
194,19.325623
195,19.682552
196,19.472982
197,19.674143
198,19.667461
199,19.738665
200,19.693094
201,19.650524
202,19.776939
203,19.871611
204,19.662498
205,19.803564
206,19.528738
207,19.611570
208,19.674749
209,19.740761
210,19.623053
211,20.082205
212,19.700806
213,19.910994
214,20.021126
215,19.947077
216,20.025110
217,19.775982
218,20.067905
219,19.842190
220,19.999876
221,20.004400
222,20.036795
223,19.869684
224,20.084604
225,20.206764
226,19.992603
227,20.094177
228,19.792042
229,20.353897
230,20.369638
231,20.074186
232,20.122473
233,20.256491
234,20.528336
235,20.136829
236,20.240170
237,20.614851
238,20.590334
239,20.354082
240,20.337692
241,20.405647
242,20.669500
243,20.468647
244,20.709490
245,20.842323
246,21.069923
247,20.511671
248,20.685387
249,20.598167
250,20.653757
251,20.518875
252,20.789265
253,20.834648
254,20.907694
255,20.723179
256,20.708239
257,20.933996
258,20.491079
259,20.744684
260,20.727024
261,20.634354
262,20.732801
263,20.537308
264,20.782600
265,20.534670
266,20.570812
267,21.097158
268,20.956503
269,20.863504
270,20.915363
271,21.282940
272,20.829641
273,21.105515
274,20.962446
275,20.934452
276,21.000715
277,20.799091
278,21.096678
279,21.268581
280,20.862394
281,20.714117
282,21.394604
283,21.038275
284,20.326727
285,20.542206
286,21.449341
287,21.397413
288,21.009502
289,21.078373
290,21.306557
291,21.241131
292,21.171940
293,21.290052
294,20.818672
295,21.480709
296,20.926811
297,21.172806
298,21.102442
299,21.292854
300,20.830938
301,21.158760
302,21.433945
303,21.484509
304,21.707857
305,21.354891
306,21.433912
307,21.786077
308,21.298944
309,21.394943
310,21.376390
311,21.475916
